id	station	city
87213108	Gare de Schweighouse (Bas-Rhin)	Schweighouse-Sur-Moder
87213165	Gare de Obermodern	Obermodern-Zutzendorf
87213207	Gare de Mertzwiller	Mertzwiller
87213223	Gare de Gundershoffen	Gundershoffen
87213231	Reichshoffen-Usines	Reichshoffen
87213249	Gare de Reichshoffen-Ville	Reichshoffen
87213256	Gare de Niederbronn	Niederbronn-Les-Bains
87213405	Gare de Walbourg	Walbourg
87213413	Gare de Hoelschloch-Surbourg	Surbourg
87213421	Gare de Soultz-sous-Forêts	Soultz-Sous-Forets
87213447	Gare de Hoffen	Hoffen
87213454	Gare de Hunspach	Hunspach
87213462	Gare de Riedseltz	Riedseltz
87213470	Gare de Wissembourg	Wissembourg
87213603	Gare de Marienthal	Haguenau
87213611	Gare de Bischwiller	Bischwiller
87213660	Gare de Kurtzenhouse	Kurtzenhouse
87213678	Gare de Weyersheim	Weyersheim
87213686	Gare de Hoerdt	HRdt
87213744	Gare de Wingen-sur-Moder	Wingen-Sur-Moder
87213785	Gare de Ingwiller	Ingwiller
87214056	Gare de Sélestat	Selestat
87214106	Gare de Ebersheim	Ebersheim
87214114	Gare de Kogenheim	Kogenheim
87214122	Gare de Benfeld	Benfeld
87214130	Gare de Matzenheim	Matzenheim
87214148	Gare de Erstein	Erstein
87214205	Gare de Scherwiller	Scherwiller
87214213	Gare de Dambach-la-Ville	Dambach-La-Ville
87214221	Gare de Epfig	Epfig
87214239	Gare de Eichhoffen	Eichhoffen
87214247	Gare de Barr	Barr
87214254	Gare de Gertwiller	Gertwiller
87214270	Gare de Goxwiller	Goxwiller
87214288	Gare de Obernai	Obernai
87214296	Gare de Bischoffsheim	Bischoffsheim
87214320	Gare de Rosheim	Rosheim
87214338	Gare de Dorlisheim	Dorlisheim
87214502	Gare de Lingolsheim	Lingolsheim
87214528	Gare de Entzheim-Aéroport	Entzheim
87214536	Gare de Duppigheim	Duppigheim
87214544	Gare de Duttlenheim-Ernolsheim-	Dachstein
87214551	Gare de Dachstein	Molsheim
87214577	Gare de Molsheim	Molsheim
87214585	Gare de Mutzig	Mutzig
87214593	Gare de Gresswiller	Gresswiller
87214635	Gare de Urmatt	Urmatt
87214643	Gare de Mullerhof	Urmatt
87214650	Gare de Muhlbach-sur-Bruche-Lut	Muhlbach-Sur-Bruche
87214676	Gare de Wisches	Wisches
87214684	Gare de Russ-Hersbach	Wisches
87214692	Gare de Schirmeck-la-Broque	Schirmeck
87214726	Gare de Rothau	Rothau
87214734	Gare de Fouday	Fouday
87214742	Gare de St-Blaise-Roche-Poutay	Saint-Blaise-La-Roche
87214775	Gare de Bourg-Bruche	Bourg-Bruche
87214783	Gare de Saales	Saales
87215012	Gare de Sarrebourg	Sarrebourg
87215079	Gare de Reding	Reding
87215103	Gare de Igney-Avricourt	Avricourt
87215145	Héming-Mairie	Heming
87215160	Gare de Lutzelbourg	Lutzelbourg
87215335	Gare de Berthelming	Berthelming
87215459	Sarre-Union	Sarre-Union
87215483	Schopperten	Schopperten
87215491	Keskastel	Keskastel
87215632	Gare de Oermingen	Oermingen
87215665	Gare de Diemeringen	Diemeringen
87215699	Gare de Tieffenbach-Struth	Tieffenbach
87223263	Gare de Lille Europe	Lille
87271007	Gare de Paris Gare du Nord	Paris
87271536	Gare de Dammartin-Juilly-St-Mar	Saint-Mard
87271551	Gare de Le Plessis-Belleville	Le Plessis-Belleville
87271577	Gare de Nanteuil-le-Haudouin	Nanteuil-Le-Haudouin
87271585	Gare de Ormoy-Villers	Ormoy-Villers
87271593	Gare de Crépy-en-Valois	Crepy-En-Valois
87271601	Gare de Vaumoise	Coyolles
87271734	Gare de Villers-Cotterets	Villers-Cotterets
87271775	Gare de Longpont	Longpont
87271783	Gare de Vierzy	Vierzy
87271817	Gare de Soissons	Soissons
87271874	Gare de Crouy	Crouy
87271882	Gare de Margival	Margival
87272013	Gare de Jaux	Jaux
87272096	Gare de Esches	Esches
87272195	Gare de Longueil-Annel	Longueil-Annel
87272286	Gare de Corcy	Corcy
87276006	Gare de Creil	Creil
87276113	Gare de Chantilly-Gouvieux	Chantilly
87276204	Gare de Laigneville	Laigneville
87276212	Gare de Liancourt-Rantigny	Rantigny
87276279	Gare de Orry-la-Ville-Coye	Orry-La-Ville
87276303	Gare de Longueil-Ste-Marie	Longueil-Sainte-Marie
87276311	Gare de Chevrières	Chevrieres
87276329	Gare de Pont-Ste-Maxence	Pont-Sainte-Maxence
87276352	Gare de Rieux-Angicourt	Rieux
87276378	Gare de Villers-St-Paul	Villers-Saint-Paul
87276469	Gare de Persan-Beaumont	Persan
87276618	Gare de Montataire	Montataire
87276691	Gare de Compiègne	Margny-Les-Compiegne
87276717	Gare de Bornel-Belle-Eglise	Bornel
87276725	Gare de Chambly	Chambly
87276733	Gare de Le Meux-Croix-St-Ouen	Le Meux
87276741	Gare de Thourotte	Thourotte
87276766	Gare de Ribécourt	Ribecourt-Dreslincourt
87276774	Gare de Ourscamps	Pimprez
87276782	Gare de Noyon	Noyon
87278259	Gare de Mérignac-Arlac	Merignac
87281006	Gare de Dunkerque	Dunkerque
87281055	Gare de Croix l'Allumette	Croix
87281071	Gare de Calais Fréthun	Frethun
87281105	Gare de Bergues	Bergues
87281113	Gare de Esquelbecq	Esquelbecq
87281121	Gare de Arnèke	Arneke
87281139	Gare de Cassel	Oxelaere
87281246	Gare de Gravelines	Gravelines
87281279	Gare de Bourbourg	Bourbourg
87281311	Gare de Grande Synthe	Grande-Synthe
87281402	Gare de Coudekerque Branche	Coudekerque-Branche
87281410	Gare de Pont d'Ardres	Ardres
87281428	Gare de Audruicq	Audruicq
87281436	Gare de Watten Eperlecques	Eperlecques
87281444	Gare de St Omer	Saint-Omer
87281451	Gare de Renescure	Renescure
87281469	Gare de Ebblinghem	Ebblinghem
87282624	Gare de Lyon-Jean-Macé	Lyon
87286005	Gare de Lille Flandres	Lille
87286062	Gare de Hellemmes	Lille
87286096	Gare de Haubourdin	Haubourdin
87286112	Gare de Loos lès Lille	Loos
87286146	Gare de Armentières	Armentieres
87286161	Gare de Steenwerck	Bailleul
87286179	Gare de Bailleul (Nord)	Bailleul
87286187	Gare de La Madeleine (Nord)	La Madeleine
87286195	Gare de St-André (Nord)	Saint-Andre-Lez-Lille
87286203	Gare de Strazeele	Strazeele
87286229	Wambrechies	Wambrechies
87286245	Quesnoy sur Deule	Quesnoy-Sur-Deule
87286260	Comines (France)	Comines
87286278	Gare de Pérenchies	Perenchies
87286302	Gare de Hazebrouck	Hazebrouck
87286401	Gare de Santes	Santes
87286419	Gare de Wavrin	Wavrin
87286427	Gare de La Fontaine (Nord)	Wavrin
87286435	Gare de Don Sainghin	Sainghin-En-Weppes
87286500	Gare de Phalempin	Phalempin
87286518	Gare de Seclin	Seclin
87286526	Gare de Wattignies Templemars	Templemars
87286534	Gare de Ronchin	Ronchin
87286542	Gare de Tourcoing	Tourcoing
87286567	Gare de Rosult	Rosult
87286575	Gare de Landas	Landas
87286583	Gare de Orchies	Orchies
87286609	Gare de Nomain	Nomain
87286625	Gare de Templeuve	Templeuve-En-Pevele
87286641	Gare de Fretin (Nord)	Fretin
87286716	Gare de Croix Wasquehal	Wasquehal
87286732	Gare de Roubaix	Roubaix
87286831	Gare de Pont de Bois	Villeneuve-D'Ascq
87286849	Gare de Lesquin	Lesquin
87286856	Gare de Annappes	Villeneuve-D'Ascq
87286864	Gare de Ascq	Villeneuve-D'Ascq
87286872	Gare de Baisieux	Baisieux
87287102	Gare de Lezennes	Lille
87287128	Gare de Mont de Terre	Lille
87287151	Gare de Nieppe	Nieppe
87287169	Marquette	Marquette-Lez-Lille
87287193	Ste Marguerite	Comines
87287250	Gare de Lille Porte de Douai	Lille
87287276	Gare de Ennevelin	Templeuve-En-Pevele
87287292	Gare de Nortkerque	Nortkerque
87287300	Gare de Ruminghem	Ruminghem
87295006	Gare de Maubeuge	Maubeuge
87295014	Gare de Jeumont	Jeumont
87295022	Gare de Recquignies	Recquignies
87295048	Gare de Fourmies	Fourmies
87295055	Gare de Anor	Anor
87295063	Gare de Hirson	Hirson
87295220	Gare de Le Cateau	Le Cateau-Cambresis
87295535	Gare de Louvroil	Louvroil
87295543	Gare de Sous-le-Bois	Maubeuge
87295568	Gare de Hautmont	Hautmont
87295600	Gare de Aulnoye Aymeries	Aulnoye-Aymeries
87295642	Gare de Landrecies	Landrecies
87295667	Gare de Ors	Ors
87295709	Gare de Sains du Nord	Sains-Du-Nord
87295725	Gare de Avesnelles	Avesnelles
87295733	Gare de Avesnes	Avesnes-Sur-Helpe
87295774	Gare de Dompierre (Nord)	Dompierre-Sur-Helpe
87295790	Gare de Leval	Leval
87295808	Gare de Berlaimont	Berlaimont
87295857	Gare de Le Quesnoy (Nord)	Le Quesnoy
87296004	Gare de St Quentin	Saint-Quentin
87296012	Gare de Laon	Laon
87296095	Gare de Marle-sur-Serre	Marle
87296129	Gare de Vervins	Vervins
